Dataset Type,Environment,Delay Mode,Delay,Strategy,Algo,Seed,Iteration,D4rl_Score
medium-replay-v0,halfcheetah,constant,50,interval_average,mopo,10,1458,51.1
medium-replay-v0,halfcheetah,constant,100,interval_average,mopo,1000,1213,53.2
medium-replay-v0,halfcheetah,constant,100,interval_average,mopo,100,1213,51.9
medium-replay-v0,halfcheetah,constant,100,interval_average,mopo,10,1213,52.2
medium-replay-v0,halfcheetah,constant,200,interval_average,mopo,1000,1347,50.1
medium-replay-v0,halfcheetah,constant,200,interval_average,mopo,100,1347,50.5
medium-replay-v0,halfcheetah,constant,200,interval_average,mopo,10,1347,50.9
medium-replay-v0,halfcheetah,constant,500,interval_average,mopo,1000,1257,49.9
medium-replay-v0,halfcheetah,constant,500,interval_average,mopo,100,1257,48.1
medium-replay-v0,halfcheetah,constant,500,interval_average,mopo,10,1257,46.8
medium-replay-v0,halfcheetah,constant,20,interval_average,mopo,10,1150,51.2
medium-replay-v0,halfcheetah,constant,20,interval_average,mopo,1000,1150,59.4
medium-replay-v0,halfcheetah,constant,20,interval_average,mopo,100,1150,53.5
medium-replay-v0,halfcheetah,constant,20,interval_average,mopo,10,1150,51.1
medium-replay-v0,halfcheetah,constant,20,none,mopo,10,6,7.1
medium-replay-v0,halfcheetah,constant,20,none,mopo,1000,6,11.5
medium-replay-v0,halfcheetah,constant,20,none,mopo,100,6,9.2
medium-replay-v0,halfcheetah,constant,20,none,mopo,10,6,7.1
medium-replay-v0,halfcheetah,constant,20,interval_ensemble,mopo,100,1546,53.3
medium-replay-v0,halfcheetah,constant,20,interval_ensemble,mopo,1000,1546,56.8
medium-replay-v0,halfcheetah,constant,20,interval_ensemble,mopo,10,1546,54.6
