Dataset Type,Environment,Delay Mode,Delay,Algo,Strategy,Seed,Iteration,D4rl_Score,D4rl_Score_stddev
medium,halfcheetah,constant,50,mopo,"scale,pg_reshaping",[2021],1294,37.1,0.0
medium-replay,halfcheetah,constant,50,mopo,interval_ensemble,[2021],1253,58.5,0.0
medium,halfcheetah,constant,50,mopo,interval_random,[2021],215,35.9,0.0
medium-replay,halfcheetah,constant,50,mopo,"pg_reshaping,scale",[2021],0,6.9,0.0
medium,halfcheetah,constant,50,mopo,interval_average,[2021],1414,46.1,0.0
medium,halfcheetah,constant,50,mopo,"scale,interval_average",[2021],226,35.6,0.0
medium,hopper,constant,50,mopo,scale_v2,[2021],0,42.5,0.0
medium-expert,halfcheetah,constant,20,mopo,interval_average,"[1000, 100, 10]",1163,73.6,8.3
medium-replay,halfcheetah,constant,50,mopo,"scale,pg_reshaping",[2021],0,5.0,0.0
medium,halfcheetah,constant,50,mopo,scale,[2021],1008,38.9,0.0
medium-replay,walker2d,constant,100,mopo,interval_random,[2021],1196,44.6,0.0
medium,hopper,constant,50,mopo,interval_average,[2021],0,29.8,0.0
medium,hopper,constant,50,mopo,"scale,interval_average,scale",[2021],1304,67.3,0.0
medium,halfcheetah,constant,50,mopo,none,[2021],216,8.4,0.0
medium-replay,walker2d,constant,100,mopo,"interval_average,scale",[2021],384,53.4,0.0
medium,halfcheetah,constant,50,mopo,"scale,pg_reshaping,scale",[2021],191,36.9,0.0
medium-replay,halfcheetah,constant,50,mopo,"scale,pg_reshaping,scale",[2021],0,7.7,0.0
medium-replay,hopper,constant,50,mopo,"scale,interval_average",[2021],818,95.9,0.0
medium,halfcheetah,constant,50,mopo,"interval_average,scale",[2021],1271,42.7,0.0
medium,hopper,constant,50,mopo,"interval_average,scale_zscore",[2021],0,48.4,0.0
medium-replay,walker2d,constant,100,mopo,"scale,pg_reshaping,scale",[2021],917,53.2,0.0
medium-replay,halfcheetah,constant,50,mopo,scale,[2021],721,28.1,0.0
medium-replay,hopper,constant,50,mopo,"interval_average,scale",[2021],1093,100.7,0.0
medium-replay,hopper,constant,50,mopo,scale_v2,[2021],767,100.9,0.0
